temp,pressure,energy-Structure-1,energy-Structure-2,energy-Structure-0
750.0,75,-5.910106578750001,-6.458412725500001,-6.472829558625
760.0,75,-5.91191575775,-6.4598745565,-6.474182805125
770.0,75,-5.91374989425,-6.46136124825,-6.47556018825
780.0,75,-5.915608816500001,-6.46287264375,-6.47696157125
790.0,75,-5.91749235275,-6.464408584,-6.47838681575
800.0,75,-5.91940033225,-6.465968911,-6.47983578225
810.0,75,-5.9213325845,-6.4675534655,-6.4813083305
820.0,75,-5.92328894025,-6.469162088,-6.48280431925
830.0,75,-5.925269231000001,-6.47079462,-6.484323606875
840.0,75,-5.92727328875,-6.47245090225,-6.48586605125
850.0,75,-5.929300947000001,-6.47413077575,-6.487431509875
860.0,75,-5.93135204,-6.4758340822500005,-6.48901984
870.0,75,-5.933426403,-6.477560664,-6.490630898875
880.0,75,-5.93552387275,-6.4793103635,-6.492264544
890.0,75,-5.9376442865,-6.48108302375,-6.49392063275
900.0,75,-5.939787483000001,-6.48287848875,-6.495599022875
910.0,75,-5.94195330275,-6.4846966035,-6.49729957225
920.0,75,-5.944141586750001,-6.486537213,-6.499022139375
930.0,75,-5.946352177750001,-6.488400164,-6.50076658325
940.0,75,-5.94858491925,-6.490285304,-6.502532763125
950.0,75,-5.9508396565,-6.492192481,-6.504320539125
960.0,75,-5.9531162362500005,-6.4941215445000005,-6.506129772
970.0,75,-5.95541450625,-6.49607234475,-6.507960323125
980.0,75,-5.957734315500001,-6.4980447335,-6.5098120545
990.0,75,-5.960075514500001,-6.5000385635,-6.51168482925
1000.0,75,-5.9624379555,-6.50205368825,-6.513578511
0.0,100,-4.9621991005,-5.652753994999999,-5.674010949875
10.0,100,-4.96219912725,-5.65275399675,-5.6740109510000005
20.0,100,-4.962199642,-5.652754028,-5.674010971625
30.0,100,-4.96220179275,-5.6527541675,-5.67401106375
40.0,100,-4.9622069475,-5.65275454775,-5.67401131475
50.0,100,-4.9622164965,-5.652755356999999,-5.67401185075
60.0,100,-4.962231840249999,-5.6527568455,-5.674012841625
70.0,100,-4.962254404499999,-5.65275933325,-5.6740145091250005
80.0,100,-4.962285652249999,-5.6527632215,-5.6740171395
90.0,100,-4.9623270785,-5.65276900475,-5.674021097375
100.0,100,-4.962380195,-5.652777277249999,-5.67402683675
110.0,100,-4.962446508,-5.6527887345,-5.67403490625
120.0,100,-4.96252749725,-5.6528041655,-5.674045946375
130.0,100,-4.962624594499999,-5.652824441,-5.6740606825
140.0,100,-4.96273916725,-5.652850498249999,-5.674079912375
150.0,100,-4.9628725045,-5.65288332675,-5.6741044935
160.0,100,-4.96302581025,-5.652923953,-5.674135329375
170.0,100,-4.96320019575,-5.65297342825,-5.674173357125
180.0,100,-4.963396681,-5.653032817,-5.6742195365
190.0,100,-4.9636161935,-5.653103187499999,-5.674274839625
200.0,100,-4.96385957325,-5.6531856025,-5.674340243125
210.0,100,-4.96412757675,-5.653281113499999,-5.67441671975
220.0,100,-4.96442088275,-5.65339075225,-5.6745052327500005
230.0,100,-4.96474009825,-5.6535155265,-5.674606729625
240.0,100,-4.96508576475,-5.6536564145,-5.67472213725
250.0,100,-4.96545836375,-5.653814360749999,-5.6748523575
260.0,100,-4.96585832225,-5.65399027225,-5.6749982638750005
270.0,100,-4.9662860185,-5.65418501625,-5.675160697875
280.0,100,-4.96674178575,-5.65439941725,-5.675340466625
290.0,100,-4.96722591675,-5.6546342555,-5.675538341125001
300.0,100,-4.96773866725,-5.65489026625,-5.675755054250001
310.0,100,-4.96828025975,-5.65516813875,-5.675991300125
320.0,100,-4.96885088575,-5.65546851675,-5.676247733
330.0,100,-4.969450708,-5.655791998,-5.6765249675
340.0,100,-4.9700798645,-5.6561391355,-5.676823578125
350.0,100,-4.97073846775,-5.656510438,-5.6771441002500005
360.0,100,-4.97142660875,-5.65690637175,-5.67748703025
370.0,100,-4.97214435825,-5.6573273615,-5.677852826875
380.0,100,-4.9728917665,-5.65777379175,-5.678241911625
390.0,100,-4.97366886725,-5.65824600925,-5.678654670375
400.0,100,-4.9744756765,-5.65874432375,-5.679091454875
410.0,100,-4.975312195,-5.65926901075,-5.679552583375
420.0,100,-4.97617840875,-5.65982031225,-5.6800383427500005
430.0,100,-4.97707429075,-5.6603984395,-5.6805489896250005
440.0,100,-4.97799980025,-5.6610035745,-5.681084752
450.0,100,-4.978954885499999,-5.661635871,-5.681645830625
460.0,100,-4.9799394835,-5.66229545725,-5.682232400625
470.0,100,-4.98095352025,-5.662982437499999,-5.6828446125
480.0,100,-4.98199691325,-5.663696893,-5.68348259425
490.0,100,-4.98306957025,-5.66443888375,-5.68414645225
500.0,100,-4.984171390999999,-5.6652084505,-5.684836272625001
510.0,100,-4.9853022675,-5.666005615,-5.685552122625
