temp,pressure,energy-Structure-1,energy-Structure-2,energy-Structure-0,e_min,stable_struct
620.0,100,-4.99962268,-5.6765875945,-5.695148171625,-5.695148171625,Structure-0
630.0,100,-5.0010917335,-5.67771262175,-5.696176261000001,-5.696176261000001,Structure-0
640.0,100,-5.0025879705,-5.67886438475,-5.697230020875001,-5.697230020875001,Structure-0
650.0,100,-5.0041112245,-5.6800427595,-5.698309358625,-5.698309358625,Structure-0
660.0,100,-5.00566132825,-5.681247617,-5.699414176125,-5.699414176125,Structure-0
670.0,100,-5.00723811225,-5.68247882375,-5.70054436975,-5.70054436975,Structure-0
680.0,100,-5.0088414065,-5.683736242749999,-5.7016998311250005,-5.7016998311250005,Structure-0
690.0,100,-5.0104710395,-5.68501973325,-5.7028804471250005,-5.7028804471250005,Structure-0
700.0,100,-5.01212684,-5.6863291515,-5.704086101000001,-5.704086101000001,Structure-0
710.0,100,-5.013808635,-5.6876643505,-5.705316672125,-5.705316672125,Structure-0
720.0,100,-5.015516251999999,-5.68902518125,-5.706572036875,-5.706572036875,Structure-0
730.0,100,-5.01724951775,-5.690411493,-5.70785206825,-5.70785206825,Structure-0
740.0,100,-5.01900825975,-5.69182313275,-5.709156637125,-5.709156637125,Structure-0
750.0,100,-5.0207923045,-5.69325994575,-5.710485611875,-5.710485611875,Structure-0
760.0,100,-5.02260147925,-5.6947217765,-5.71183885875,-5.71183885875,Structure-0
770.0,100,-5.02443561175,-5.6962084685,-5.713216242500001,-5.713216242500001,Structure-0
780.0,100,-5.02629452975,-5.6977198635,-5.714617626,-5.714617626,Structure-0
790.0,100,-5.028178061999999,-5.699255804,-5.716042871,-5.716042871,Structure-0
800.0,100,-5.030086037249999,-5.70081613075,-5.717491838,-5.717491838,Structure-0
810.0,100,-5.0320182855,-5.702400685,-5.718964386750001,-5.718964386750001,Structure-0
820.0,100,-5.033974637,-5.70400930775,-5.720460376,-5.720460376,Structure-0
830.0,100,-5.035954923499999,-5.7056418395,-5.72197966425,-5.72197966425,Structure-0
840.0,100,-5.03795897725,-5.7072981215,-5.723522109125001,-5.723522109125001,Structure-0
850.0,100,-5.03998663125,-5.708977995,-5.72508756825,-5.72508756825,Structure-0
860.0,100,-5.04203772025,-5.710681301499999,-5.726675898875,-5.726675898875,Structure-0
870.0,100,-5.044112079,-5.71240788325,-5.7282869583750005,-5.7282869583750005,Structure-0
880.0,100,-5.0462095445,-5.7141575825,-5.729920604,-5.729920604,Structure-0
890.0,100,-5.04832995425,-5.71593024275,-5.73157669325,-5.73157669325,Structure-0
900.0,100,-5.05047314675,-5.71772570775,-5.733255083875,-5.733255083875,Structure-0
910.0,100,-5.0526389625,-5.71954382225,-5.73495563375,-5.73495563375,Structure-0
920.0,100,-5.05482724225,-5.72138443175,-5.7366782015,-5.7366782015,Structure-0
930.0,100,-5.057037829,-5.723247382499999,-5.73842264575,-5.73842264575,Structure-0
940.0,100,-5.0592705665,-5.72513252225,-5.74018882625,-5.74018882625,Structure-0
950.0,100,-5.06152529975,-5.72703969925,-5.741976602875,-5.741976602875,Structure-0
960.0,100,-5.063801875249999,-5.7289687625,-5.74378583625,-5.74378583625,Structure-0
970.0,100,-5.066100141,-5.73091956275,-5.745616387875001,-5.745616387875001,Structure-0
980.0,100,-5.06841994625,-5.7328919515,-5.747468119875,-5.747468119875,Structure-0
990.0,100,-5.07076114125,-5.73488578125,-5.749340895125,-5.749340895125,Structure-0
1000.0,100,-5.07312357825,-5.736900906,-5.751234577375,-5.751234577375,Structure-0
