energy-Structure-1,temp,pressure
-6.8799947105,860.0,50
-6.8820690867500005,870.0,50
-6.8841665697500005,880.0,50
-6.88628699675,890.0,50
-6.888430206750001,900.0,50
-6.89059603975,910.0,50
-6.892784337,920.0,50
-6.89499494125,930.0,50
-6.897227696000001,940.0,50
-6.89948244675,950.0,50
-6.90175903975,960.0,50
-6.90405732275,970.0,50
-6.9063771452500005,980.0,50
-6.908718357750001,990.0,50
-6.911080812000001,1000.0,50
-5.8515130995,0.0,75
-5.851513126,10.0,75
-5.85151364125,20.0,75
-5.851515793000001,30.0,75
-5.851520949,40.0,75
-5.851530499750001,50.0,75
-5.85154584525,60.0,75
-5.851568411750001,70.0,75
-5.851599661750001,80.0,75
-5.85164109075,90.0,75
-5.851694209750001,100.0,75
-5.8517605255000005,110.0,75
-5.8518415177500005,120.0,75
-5.851938618,130.0,75
-5.852053193750001,140.0,75
-5.8521865345,150.0,75
-5.8523398435,160.0,75
-5.852514232500001,170.0,75
-5.852710721,180.0,75
-5.852930237250001,190.0,75
-5.853173620500001,200.0,75
-5.8534416277500005,210.0,75
-5.8537349372500005,220.0,75
-5.85405415675,230.0,75
-5.854399827000001,240.0,75
-5.854772429750001,250.0,75
-5.8551723925,260.0,75
-5.8556000925000005,270.0,75
-5.85605586375,280.0,75
-5.856539998750001,290.0,75
-5.8570527532500005,300.0,75
-5.85759435,310.0,75
-5.858164979750001,320.0,75
-5.858764806250001,330.0,75
-5.859393966750001,340.0,75
-5.86005257425,350.0,75
-5.860740719500001,360.0,75
-5.861458473000001,370.0,75
-5.862205885500001,380.0,75
-5.862982990500001,390.0,75
-5.8637898037500005,400.0,75
-5.864626326500001,410.0,75
-5.8654925445,420.0,75
-5.866388430750001,430.0,75
-5.8673139445,440.0,75
-5.868269034000001,450.0,75
-5.869253636000001,460.0,75
-5.870267677,470.0,75
-5.87131107425,480.0,75
-5.872383735250001,490.0,75
-5.873485560250001,500.0,75
-5.874616441250001,510.0,75
-5.8757762630000006,520.0,75
-5.8769649045,530.0,75
-5.878182237500001,540.0,75
-5.87942812975,550.0,75
-5.8807024427500005,560.0,75
-5.8820050340000005,570.0,75
-5.8833357565,580.0,75
-5.88469446,590.0,75
-5.88608099025,600.0,75
-5.88749519025,610.0,75
-5.8889369,620.0,75
-5.8904059577500005,630.0,75
-5.89190219875,640.0,75
-5.893425457,650.0,75
-5.894975565,660.0,75
-5.896552353250001,670.0,75
-5.898155651500001,680.0,75
-5.89978528875,690.0,75
-5.901441093250001,700.0,75
-5.903122892500001,710.0,75
-5.90483051375,720.0,75
-5.90656378375,730.0,75
-5.90832252975,740.0,75
-5.910106578750001,750.0,75
-5.91191575775,760.0,75
-5.91374989425,770.0,75
-5.915608816500001,780.0,75
-5.91749235275,790.0,75
-5.91940033225,800.0,75
-5.9213325845,810.0,75
-5.92328894025,820.0,75
-5.925269231000001,830.0,75
-5.92727328875,840.0,75
-5.929300947000001,850.0,75
-5.93135204,860.0,75
-5.933426403,870.0,75
-5.93552387275,880.0,75
-5.9376442865,890.0,75
-5.939787483000001,900.0,75
-5.94195330275,910.0,75
-5.944141586750001,920.0,75
-5.946352177750001,930.0,75
-5.94858491925,940.0,75
-5.9508396565,950.0,75
-5.9531162362500005,960.0,75
-5.95541450625,970.0,75
-5.957734315500001,980.0,75
-5.960075514500001,990.0,75
-5.9624379555,1000.0,75
-4.9621991005,0.0,100
-4.96219912725,10.0,100
-4.962199642,20.0,100
-4.96220179275,30.0,100
-4.9622069475,40.0,100
-4.9622164965,50.0,100
-4.962231840249999,60.0,100
-4.962254404499999,70.0,100
-4.962285652249999,80.0,100
-4.9623270785,90.0,100
-4.962380195,100.0,100
-4.962446508,110.0,100
-4.96252749725,120.0,100
-4.962624594499999,130.0,100
-4.96273916725,140.0,100
-4.9628725045,150.0,100
-4.96302581025,160.0,100
-4.96320019575,170.0,100
-4.963396681,180.0,100
-4.9636161935,190.0,100
-4.96385957325,200.0,100
-4.96412757675,210.0,100
-4.96442088275,220.0,100
-4.96474009825,230.0,100
-4.96508576475,240.0,100
-4.96545836375,250.0,100
-4.96585832225,260.0,100
-4.9662860185,270.0,100
-4.96674178575,280.0,100
-4.96722591675,290.0,100
-4.96773866725,300.0,100
-4.96828025975,310.0,100
-4.96885088575,320.0,100
-4.969450708,330.0,100
-4.9700798645,340.0,100
-4.97073846775,350.0,100
-4.97142660875,360.0,100
-4.97214435825,370.0,100
-4.9728917665,380.0,100
-4.97366886725,390.0,100
-4.9744756765,400.0,100
-4.975312195,410.0,100
-4.97617840875,420.0,100
-4.97707429075,430.0,100
-4.97799980025,440.0,100
-4.978954885499999,450.0,100
-4.9799394835,460.0,100
-4.98095352025,470.0,100
-4.98199691325,480.0,100
-4.98306957025,490.0,100
-4.984171390999999,500.0,100
-4.9853022675,510.0,100
-4.98646208525,520.0,100
-4.98765072225,530.0,100
-4.98886805125,540.0,100
-4.99011393925,550.0,100
-4.991388248,560.0,100
-4.992690834999999,570.0,100
-4.9940215535,580.0,100
-4.99538025275,590.0,100
-4.99676677875,600.0,100
-4.998180974499999,610.0,100
-4.99962268,620.0,100
-5.0010917335,630.0,100
-5.0025879705,640.0,100
-5.0041112245,650.0,100
-5.00566132825,660.0,100
-5.00723811225,670.0,100
-5.0088414065,680.0,100
-5.0104710395,690.0,100
-5.01212684,700.0,100
-5.013808635,710.0,100
-5.015516251999999,720.0,100
-5.01724951775,730.0,100
-5.01900825975,740.0,100
-5.0207923045,750.0,100
-5.02260147925,760.0,100
-5.02443561175,770.0,100
-5.02629452975,780.0,100
-5.028178061999999,790.0,100
-5.030086037249999,800.0,100
-5.0320182855,810.0,100
-5.033974637,820.0,100
-5.035954923499999,830.0,100
-5.03795897725,840.0,100
-5.03998663125,850.0,100
-5.04203772025,860.0,100
-5.044112079,870.0,100
-5.0462095445,880.0,100
-5.04832995425,890.0,100
-5.05047314675,900.0,100
-5.0526389625,910.0,100
-5.05482724225,920.0,100
-5.057037829,930.0,100
-5.0592705665,940.0,100
-5.06152529975,950.0,100
-5.063801875249999,960.0,100
-5.066100141,970.0,100
-5.06841994625,980.0,100
-5.07076114125,990.0,100
-5.07312357825,1000.0,100
