temp,pressure,energy-1,energy-2,energy-0
10.0,36,-7.3644363399404105,-7.667923011601377,-7.68126545497749
10.0,37,-7.322982789742321,-7.634896878339761,-7.6483856026458525
10.0,38,-7.281730776697489,-7.601926390350641,-7.615560432234508
10.0,39,-7.240673507899947,-7.569011157935138,-7.582789567541203
10.0,40,-7.199804391129199,-7.536150795421999,-7.550072636284798
10.0,41,-7.159117034850226,-7.503344921167602,-7.517409270105277
10.0,42,-7.118605248213477,-7.470593157555953,-7.484799104563738
10.0,43,-7.078263041054878,-7.43789513099869,-7.4522417791424
10.0,44,-7.038084623895829,-7.405250471935075,-7.419736937244602
10.0,45,-6.9980644079431995,-7.372658814831999,-7.387284226194799
10.0,46,-6.958197005089335,-7.340119798183986,-7.354883297238567
10.0,47,-6.9184772279120565,-7.307633064513187,-7.322533805542599
10.0,48,-6.8789000896746515,-7.275198260369379,-7.2902354101947076
10.0,49,-6.839460804325887,-7.24281503632997,-7.257987774203825
10.0,50,-6.8001547865,-7.210483046999999,-7.2257905645000005
10.0,51,-6.760977651516702,-7.178201951012131,-7.193643451934401
10.0,52,-6.72192521538118,-7.145971411026659,-7.161546111279317
10.0,53,-6.682993494784089,-7.113791093731507,-7.129498221228152
10.0,54,-6.644178707101561,-7.081660669842227,-7.097499464395432
10.0,55,-6.6054772703952,-7.0495798141020005,-7.065549527316801
10.0,56,-6.566885803412086,-7.017548205281636,-7.033648100449019
10.0,57,-6.528401125584768,-6.985565526179572,-7.00179487816997
10.0,58,-6.49002025703127,-6.953631463621877,-6.969989558778652
10.0,59,-6.45174041855509,-6.921745708462244,-6.938231844495183
10.0,60,-6.413559031645201,-6.889907955582002,-6.906521441460802
10.0,61,-6.375473718476044,-6.858117903890101,-6.874858059737862
10.0,62,-6.337482301907539,-6.826375256323125,-6.8432414133098405
10.0,63,-6.299582805485075,-6.794679719845285,-6.811671220081328
10.0,64,-6.261773453439517,-6.763031005448421,-6.780147201878039
10.0,65,-6.224052670687201,-6.731428828152001,-6.748669084446803
10.0,66,-6.186419082829939,-6.699872907003126,-6.717236597455568
10.0,67,-6.1488715161550145,-6.6683629650765175,-6.685849474493406
10.0,68,-6.111408997635184,-6.636898729474533,-6.6545074530705
10.0,69,-6.074030754928679,-6.605479931327158,-6.623210274618158
10.0,70,-6.036736216379202,-6.574106305792002,-6.591957684488802
10.0,71,-5.99952501101593,-6.54277759205431,-6.560749431955979
