energy-0,temp,pressure
-8.046680242125001,100.0,25
-8.0466883115,110.0,25
-8.04669935175,120.0,25
-8.046714087875001,130.0,25
-8.04673331775,140.0,25
-8.046757899000001,150.0,25
-8.046788734875001,160.0,25
-8.046826762750001,170.0,25
-8.046872942250001,180.0,25
-8.0469282455,190.0,25
-8.046993649125001,200.0,25
-8.047070126000001,210.0,25
-8.047158639125001,220.0,25
-8.047260136125,230.0,25
-8.047375544000001,240.0,25
-8.0475057645,250.0,25
-8.047651671,260.0,25
-8.047814105250001,270.0,25
-8.04799387425,280.0,25
-8.048191749,290.0,25
-8.048408462500001,300.0,25
-8.048644708625,310.0,25
-8.048901141750001,320.0,25
-8.0491783765,330.0,25
-8.0494769875,340.0,25
-8.049797510000001,350.0,25
-8.050140440375001,360.0,25
-8.050506237250001,370.0,25
-8.050895322375,380.0,25
-8.051308081625,390.0,25
-8.051744866375001,400.0,25
-8.05220599525,410.0,25
-8.052691755000001,420.0,25
-8.053202402375002,430.0,25
-8.053738165125,440.0,25
-8.054299244125001,450.0,25
-8.0548858145,460.0,25
-8.055498026875,470.0,25
-8.056136009125002,480.0,25
-8.0567998675,490.0,25
-8.057489688250001,500.0,25
-8.05820553875,510.0,25
-8.058947468375,520.0,25
-8.0597155105,530.0,25
-8.060509682625002,540.0,25
-8.061329988375,550.0,25
-8.062176417625,560.0,25
-8.0630489485,570.0,25
-8.063947547000001,580.0,25
-8.06487216925,590.0,25
-8.065822761000002,600.0,25
-8.06679925925,610.0,25
-8.067801592875,620.0,25
-8.068829682875,630.0,25
-8.069883443125,640.0,25
-8.070962781375,650.0,25
-8.0720675995,660.0,25
-8.073197793625,670.0,25
-8.0743532555,680.0,25
-8.075533872000001,690.0,25
-8.076739526375,700.0,25
-8.077970098000002,710.0,25
-8.079225463250001,720.0,25
-8.080505495125001,730.0,25
-8.0818100645,740.0,25
-8.083139039875,750.0,25
-8.08449228725,760.0,25
-8.085869671500001,770.0,25
-8.0872710555,780.0,25
-8.088696301,790.0,25
-8.090145268625001,800.0,25
-8.091617817875001,810.0,25
-8.09311380775,820.0,25
-8.0946330965,830.0,25
-8.096175541875,840.0,25
-8.097741001500001,850.0,25
-8.09932933275,860.0,25
-8.100940392750001,870.0,25
-8.102574038875002,880.0,25
-8.10423012875,890.0,25
-8.105908519875001,900.0,25
-8.107609070375,910.0,25
-8.109331638625001,920.0,25
-8.1110760835,930.0,25
-8.112842264500001,940.0,25
-8.114630041625,950.0,25
-8.116439275625,960.0,25
-8.118269827750002,970.0,25
-8.12012156025,980.0,25
-8.121994336125,990.0,25
-8.123888019,1000.0,25
-7.225790563375,0.0,50
-7.2257905645,10.0,50
-7.22579058525,20.0,50
-7.22579067725,30.0,50
-7.22579092825,40.0,50
-7.22579146425,50.0,50
-7.225792455125,60.0,50
-7.225794122625,70.0,50
-7.225796753,80.0,50
